epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.18016046,2.0083292381855626,0.01,0.18300653994083405,3.792831427131603
1,0.2713348,1.8691310470422458,0.01,0.22875817120075226,4.47620710983775
2,0.33041576,1.7834700400771928,0.01,0.24183006584644318,4.515551941067565
3,0.33989787,1.733842893554554,0.01,0.21568627655506134,4.038658902536031
4,0.35521516,1.671947531940118,0.01,0.24183006584644318,4.648553175084731
5,0.37636763,1.6329585600734018,0.01,0.3006536066532135,4.334069121117685
6,0.38730854,1.6183912594069711,0.01,0.24836601316928864,4.733262566959157
7,0.40116704,1.5915115951709204,0.01,0.20915032923221588,5.319951113532571
8,0.4062728,1.5680344618644966,0.01,0.26143792271614075,4.949084151024912
9,0.41429612,1.5535981526433944,0.01,0.3006536066532135,5.082967995038999
10,0.41940188,1.5099272557543109,0.01,0.3006536066532135,5.4939873327616775
11,0.47702408,1.4360131373986287,0.0009999999,0.3333333432674408,5.233290871763541
12,0.4850474,1.419151910198248,0.0009999999,0.3333333432674408,5.408634597179937
13,0.47994164,1.4126172237897077,0.0009999999,0.3202614486217499,5.541529175502802
14,0.48869437,1.4078112923255548,0.0009999999,0.33986929059028625,5.579650018729415
15,0.48212984,1.4038201269661745,0.0009999999,0.3137255012989044,5.745093931559643
16,0.4850474,1.3991946924524008,0.0009999999,0.3529411852359772,5.853161431605519
17,0.47848287,1.394749899400924,0.0009999999,0.3333333432674408,5.808577163546693
18,0.48942378,1.3900572546723113,0.0009999999,0.33986929059028625,5.953449722988154
19,0.48358864,1.3881771494053647,0.0009999999,0.33986929059028625,6.115052765490962
20,0.4850474,1.3838409786238277,0.0009999999,0.3006536066532135,6.181380652134715
21,0.49161196,1.3752348484739085,9.999999e-05,0.3137255012989044,6.213158408021616
22,0.49234137,1.37358152222929,9.999999e-05,0.3202614486217499,6.244233823290058
23,0.49307075,1.3727143853359376,9.999999e-05,0.3202614486217499,6.256197661356209
24,0.49452955,1.3721212479078708,9.999999e-05,0.3202614486217499,6.252538406770993
25,0.49452955,1.3716192570243935,9.999999e-05,0.3202614486217499,6.267620909447763
26,0.49307075,1.37116094899821,9.999999e-05,0.3202614486217499,6.271317986881032
27,0.49380013,1.3706199406794959,9.999999e-05,0.32679739594459534,6.293932565676621
28,0.49380013,1.3701720300336375,9.999999e-05,0.32679739594459534,6.317356595806047
29,0.49380013,1.3698395101107619,9.999999e-05,0.3202614486217499,6.323235025592878
30,0.49744713,1.3695076664027988,9.999999e-05,0.32679739594459534,6.31787722718482
31,0.49525893,1.3681731748372252,9.999999e-06,0.32679739594459534,6.318781036177492
32,0.49452955,1.368124705087869,9.999999e-06,0.32679739594459534,6.319841559416329
33,0.49525893,1.3680878587659477,9.999999e-06,0.32679739594459534,6.321209870132745
